,Country,MEASURE,Age group,Year,Unit Code,Unit,Value
4477,Finland,CPI2010,Total population,2014,IDX,Index,109.01625200000001
4478,Finland,CPI2010,Total population,2015,IDX,Index,108.7895233
4479,Finland,CPI2010,Total population,2016,IDX,Index,109.1775949
4480,Finland,CPI2010,Total population,2017,IDX,Index,110.0007376
4481,Finland,CPI2010,Total population,2018,IDX,Index,111.1930216
4487,Finland,CPI2010,Total population,2009,IDX,Index,98.82971434
4488,Finland,CPI2010,Total population,2010,IDX,Index,100.0
4489,Finland,CPI2010,Total population,2011,IDX,Index,103.4168037
4490,Finland,CPI2010,Total population,2012,IDX,Index,106.3210853
5573,France,GINI,Total population,2012,0_TO_1,0-1 scale,0.305
5574,France,GINI,Total population,2013,0_TO_1,0-1 scale,0.29100000000000004
5575,France,GINI,Total population,2014,0_TO_1,0-1 scale,0.293
5576,France,GINI,Total population,2015,0_TO_1,0-1 scale,0.295
5577,France,GINI,Total population,2016,0_TO_1,0-1 scale,0.29100000000000004
5578,France,GINI,Total population,2017,0_TO_1,0-1 scale,0.292
5579,France,GINI,Total population,2018,0_TO_1,0-1 scale,0.301
5585,France,GINI,Total population,2009,0_TO_1,0-1 scale,0.293
5586,France,GINI,Total population,2010,0_TO_1,0-1 scale,0.303
5587,France,GINI,Total population,2011,0_TO_1,0-1 scale,0.309
5588,France,CPI2010,Total population,2012,IDX,Index,104.107058
5589,France,CPI2010,Total population,2013,IDX,Index,105.0062503
5590,France,CPI2010,Total population,2014,IDX,Index,105.5394288
5591,France,CPI2010,Total population,2015,IDX,Index,105.5790213
5592,France,CPI2010,Total population,2016,IDX,Index,105.77258090000001
5593,France,CPI2010,Total population,2017,IDX,Index,106.8644882
5594,France,CPI2010,Total population,2018,IDX,Index,108.84231640000002
5600,France,CPI2010,Total population,2009,IDX,Index,98.49197065
5601,France,CPI2010,Total population,2010,IDX,Index,100.0
5602,France,CPI2010,Total population,2011,IDX,Index,102.111598
6162,Germany,GINI,Total population,2011,0_TO_1,0-1 scale,0.29100000000000004
6163,Germany,GINI,Total population,2012,0_TO_1,0-1 scale,0.289
6164,Germany,GINI,Total population,2013,0_TO_1,0-1 scale,0.292
6165,Germany,GINI,Total population,2014,0_TO_1,0-1 scale,0.289
6166,Germany,GINI,Total population,2015,0_TO_1,0-1 scale,0.293
6167,Germany,GINI,Total population,2016,0_TO_1,0-1 scale,0.294
6168,Germany,GINI,Total population,2017,0_TO_1,0-1 scale,0.289
6174,Germany,GINI,Total population,2009,0_TO_1,0-1 scale,0.28800000000000003
6175,Germany,GINI,Total population,2010,0_TO_1,0-1 scale,0.28600000000000003
6176,Germany,GINI,Total population,2011,0_TO_1,0-1 scale,0.293
6178,Germany,CPI2010,Total population,2011,IDX,Index,102.07517259999999
6179,Germany,CPI2010,Total population,2012,IDX,Index,104.12533559999999
6180,Germany,CPI2010,Total population,2013,IDX,Index,105.69213740000001
6181,Germany,CPI2010,Total population,2014,IDX,Index,106.65055179999999
6182,Germany,CPI2010,Total population,2015,IDX,Index,107.1991865
6183,Germany,CPI2010,Total population,2016,IDX,Index,107.72628490000001
6184,Germany,CPI2010,Total population,2017,IDX,Index,109.35249650000002
6190,Germany,CPI2010,Total population,2009,IDX,Index,98.90824061
6191,Germany,CPI2010,Total population,2010,IDX,Index,100.0
6192,Germany,CPI2010,Total population,2011,IDX,Index,102.07517259999999
6818,Greece,GINI,Total population,2009,0_TO_1,0-1 scale,0.33
6819,Greece,GINI,Total population,2010,0_TO_1,0-1 scale,0.336
6820,Greece,GINI,Total population,2011,0_TO_1,0-1 scale,0.33299999999999996
6821,Greece,GINI,Total population,2012,0_TO_1,0-1 scale,0.33799999999999997
6822,Greece,GINI,Total population,2013,0_TO_1,0-1 scale,0.342
6823,Greece,GINI,Total population,2014,0_TO_1,0-1 scale,0.33899999999999997
6824,Greece,GINI,Total population,2015,0_TO_1,0-1 scale,0.34
6825,Greece,GINI,Total population,2016,0_TO_1,0-1 scale,0.33299999999999996
6826,Greece,GINI,Total population,2017,0_TO_1,0-1 scale,0.319
6827,Greece,GINI,Total population,2018,0_TO_1,0-1 scale,0.306
6832,Greece,GINI,Total population,2009,0_TO_1,0-1 scale,0.331
6833,Greece,GINI,Total population,2010,0_TO_1,0-1 scale,0.337
6834,Greece,GINI,Total population,2011,0_TO_1,0-1 scale,0.335
6835,Greece,GINI,Total population,2012,0_TO_1,0-1 scale,0.34
6836,Greece,GINI,Total population,2013,0_TO_1,0-1 scale,0.34299999999999997
6842,Greece,CPI2010,Total population,2009,IDX,Index,95.49914914
6843,Greece,CPI2010,Total population,2010,IDX,Index,100.0
6844,Greece,CPI2010,Total population,2011,IDX,Index,103.32991820000001
6845,Greece,CPI2010,Total population,2012,IDX,Index,104.88139369999999
6846,Greece,CPI2010,Total population,2013,IDX,Index,103.91419040000001
6847,Greece,CPI2010,Total population,2014,IDX,Index,102.55166120000001
6848,Greece,CPI2010,Total population,2015,IDX,Index,100.771334
6849,Greece,CPI2010,Total population,2016,IDX,Index,99.93930543
6850,Greece,CPI2010,Total population,2017,IDX,Index,101.05984240000001
6851,Greece,CPI2010,Total population,2018,IDX,Index,101.6921825
6856,Greece,CPI2010,Total population,2009,IDX,Index,95.49914914
6857,Greece,CPI2010,Total population,2010,IDX,Index,100.0
6858,Greece,CPI2010,Total population,2011,IDX,Index,103.32991820000001
6859,Greece,CPI2010,Total population,2012,IDX,Index,104.88139369999999
6860,Greece,CPI2010,Total population,2013,IDX,Index,103.91419040000001
7947,Hungary,GINI,Total population,2009,0_TO_1,0-1 scale,0.24100000000000002
7948,Hungary,GINI,Total population,2010,0_TO_1,0-1 scale,0.266
7949,Hungary,GINI,Total population,2011,0_TO_1,0-1 scale,0.26899999999999996
7950,Hungary,GINI,Total population,2012,0_TO_1,0-1 scale,0.27899999999999997
7951,Hungary,GINI,Total population,2013,0_TO_1,0-1 scale,0.28600000000000003
7952,Hungary,GINI,Total population,2014,0_TO_1,0-1 scale,0.281
7953,Hungary,GINI,Total population,2015,0_TO_1,0-1 scale,0.284
7954,Hungary,GINI,Total population,2016,0_TO_1,0-1 scale,0.28
7955,Hungary,GINI,Total population,2017,0_TO_1,0-1 scale,0.289
7956,Hungary,GINI,Total population,2018,0_TO_1,0-1 scale,0.313
7959,Hungary,GINI,Total population,2009,0_TO_1,0-1 scale,0.272
7960,Hungary,GINI,Total population,2012,0_TO_1,0-1 scale,0.29
7964,Hungary,CPI2010,Total population,2009,IDX,Index,95.36930448
7965,Hungary,CPI2010,Total population,2010,IDX,Index,100.0
7966,Hungary,CPI2010,Total population,2011,IDX,Index,103.9299316
7967,Hungary,CPI2010,Total population,2012,IDX,Index,109.8042007
7968,Hungary,CPI2010,Total population,2013,IDX,Index,111.70731470000001
7969,Hungary,CPI2010,Total population,2014,IDX,Index,111.4531355
7970,Hungary,CPI2010,Total population,2015,IDX,Index,111.3844113
7971,Hungary,CPI2010,Total population,2016,IDX,Index,111.824157
7972,Hungary,CPI2010,Total population,2017,IDX,Index,114.4500445
7973,Hungary,CPI2010,Total population,2018,IDX,Index,117.7121597
7976,Hungary,CPI2010,Total population,2009,IDX,Index,95.36930448
7977,Hungary,CPI2010,Total population,2012,IDX,Index,109.8042007
8719,Iceland,GINI,Total population,2009,0_TO_1,0-1 scale,0.266
8720,Iceland,GINI,Total population,2010,0_TO_1,0-1 scale,0.248
8721,Iceland,GINI,Total population,2011,0_TO_1,0-1 scale,0.252
8722,Iceland,GINI,Total population,2012,0_TO_1,0-1 scale,0.252
8723,Iceland,GINI,Total population,2013,0_TO_1,0-1 scale,0.24
8724,Iceland,GINI,Total population,2014,0_TO_1,0-1 scale,0.24600000000000002
8725,Iceland,GINI,Total population,2015,0_TO_1,0-1 scale,0.257
8726,Iceland,GINI,Total population,2016,0_TO_1,0-1 scale,0.264
8727,Iceland,GINI,Total population,2017,0_TO_1,0-1 scale,0.25
8733,Iceland,GINI,Total population,2009,0_TO_1,0-1 scale,0.266
8734,Iceland,GINI,Total population,2010,0_TO_1,0-1 scale,0.245
8735,Iceland,GINI,Total population,2011,0_TO_1,0-1 scale,0.25
8736,Iceland,GINI,Total population,2012,0_TO_1,0-1 scale,0.252
8737,Iceland,GINI,Total population,2013,0_TO_1,0-1 scale,0.24
8743,Iceland,CPI2010,Total population,2009,IDX,Index,94.87960241
8744,Iceland,CPI2010,Total population,2010,IDX,Index,100.0
8745,Iceland,CPI2010,Total population,2011,IDX,Index,104.0010243
8746,Iceland,CPI2010,Total population,2012,IDX,Index,109.39441540000001
8747,Iceland,CPI2010,Total population,2013,IDX,Index,113.63046270000001
8748,Iceland,CPI2010,Total population,2014,IDX,Index,115.95377649999999
8749,Iceland,CPI2010,Total population,2015,IDX,Index,117.8473716
8750,Iceland,CPI2010,Total population,2016,IDX,Index,119.8471237
8751,Iceland,CPI2010,Total population,2017,IDX,Index,121.9569452
8757,Iceland,CPI2010,Total population,2009,IDX,Index,94.87960241
8758,Iceland,CPI2010,Total population,2010,IDX,Index,100.0
8759,Iceland,CPI2010,Total population,2011,IDX,Index,104.0010243
8760,Iceland,CPI2010,Total population,2012,IDX,Index,109.39441540000001
8761,Iceland,CPI2010,Total population,2013,IDX,Index,113.63046270000001
9843,Ireland,GINI,Total population,2009,0_TO_1,0-1 scale,0.312
9844,Ireland,GINI,Total population,2010,0_TO_1,0-1 scale,0.298
9845,Ireland,GINI,Total population,2011,0_TO_1,0-1 scale,0.307
9846,Ireland,GINI,Total population,2012,0_TO_1,0-1 scale,0.31
9847,Ireland,GINI,Total population,2013,0_TO_1,0-1 scale,0.312
9848,Ireland,GINI,Total population,2014,0_TO_1,0-1 scale,0.298
9849,Ireland,GINI,Total population,2015,0_TO_1,0-1 scale,0.298
9850,Ireland,GINI,Total population,2016,0_TO_1,0-1 scale,0.309
9851,Ireland,GINI,Total population,2017,0_TO_1,0-1 scale,0.295
9857,Ireland,GINI,Total population,2009,0_TO_1,0-1 scale,0.312
9858,Ireland,GINI,Total population,2010,0_TO_1,0-1 scale,0.298
9859,Ireland,GINI,Total population,2011,0_TO_1,0-1 scale,0.3
9860,Ireland,GINI,Total population,2012,0_TO_1,0-1 scale,0.302
9861,Ireland,GINI,Total population,2013,0_TO_1,0-1 scale,0.307
9867,Ireland,CPI2010,Total population,2009,IDX,Index,100.93067959999999
9868,Ireland,CPI2010,Total population,2010,IDX,Index,100.0
9869,Ireland,CPI2010,Total population,2011,IDX,Index,102.55719599999999
9870,Ireland,CPI2010,Total population,2012,IDX,Index,104.2967829
9871,Ireland,CPI2010,Total population,2013,IDX,Index,104.82737009999998
9872,Ireland,CPI2010,Total population,2014,IDX,Index,105.0186831
9873,Ireland,CPI2010,Total population,2015,IDX,Index,104.7142787
9874,Ireland,CPI2010,Total population,2016,IDX,Index,104.72296999999999
9875,Ireland,CPI2010,Total population,2017,IDX,Index,105.07962679999999
9881,Ireland,CPI2010,Total population,2009,IDX,Index,100.93067959999999
9882,Ireland,CPI2010,Total population,2010,IDX,Index,100.0
9883,Ireland,CPI2010,Total population,2011,IDX,Index,102.55719599999999
9884,Ireland,CPI2010,Total population,2012,IDX,Index,104.2967829
9885,Ireland,CPI2010,Total population,2013,IDX,Index,104.82737009999998
10980,Italy,GINI,Total population,2009,0_TO_1,0-1 scale,0.315
10981,Italy,GINI,Total population,2010,0_TO_1,0-1 scale,0.327
10982,Italy,GINI,Total population,2011,0_TO_1,0-1 scale,0.327
10983,Italy,GINI,Total population,2012,0_TO_1,0-1 scale,0.33
10984,Italy,GINI,Total population,2013,0_TO_1,0-1 scale,0.325
10985,Italy,GINI,Total population,2014,0_TO_1,0-1 scale,0.326
10986,Italy,GINI,Total population,2015,0_TO_1,0-1 scale,0.33299999999999996
10987,Italy,GINI,Total population,2016,0_TO_1,0-1 scale,0.327
10988,Italy,GINI,Total population,2017,0_TO_1,0-1 scale,0.33399999999999996
10991,Italy,GINI,Total population,2009,0_TO_1,0-1 scale,0.315
10992,Italy,GINI,Total population,2010,0_TO_1,0-1 scale,0.321
10993,Italy,GINI,Total population,2011,0_TO_1,0-1 scale,0.326
10994,Italy,GINI,Total population,2012,0_TO_1,0-1 scale,0.32899999999999996
10995,Italy,GINI,Total population,2013,0_TO_1,0-1 scale,0.324
11001,Italy,CPI2010,Total population,2009,IDX,Index,98.4974009
11002,Italy,CPI2010,Total population,2010,IDX,Index,100.0
11003,Italy,CPI2010,Total population,2011,IDX,Index,102.78063900000001
11004,Italy,CPI2010,Total population,2012,IDX,Index,105.9065635
11005,Italy,CPI2010,Total population,2013,IDX,Index,107.1986256
11006,Italy,CPI2010,Total population,2014,IDX,Index,107.4570251
11007,Italy,CPI2010,Total population,2015,IDX,Index,107.49870449999999
11008,Italy,CPI2010,Total population,2016,IDX,Index,107.3976351
11009,Italy,CPI2010,Total population,2017,IDX,Index,108.7149027
11012,Italy,CPI2010,Total population,2009,IDX,Index,98.4974009
11013,Italy,CPI2010,Total population,2010,IDX,Index,100.0
11014,Italy,CPI2010,Total population,2011,IDX,Index,102.78063900000001
11015,Italy,CPI2010,Total population,2012,IDX,Index,105.9065635
11016,Italy,CPI2010,Total population,2013,IDX,Index,107.1986256
11962,Japan,GINI,Total population,2009,0_TO_1,0-1 scale,0.336
11963,Japan,GINI,Total population,2012,0_TO_1,0-1 scale,0.33
11965,Japan,CPI2010,Total population,2009,IDX,Index,100.7252007
11966,Japan,CPI2010,Total population,2012,IDX,Index,99.6805698
12106,Korea,GINI,Total population,2015,0_TO_1,0-1 scale,0.35200000000000004
12107,Korea,GINI,Total population,2016,0_TO_1,0-1 scale,0.355
12108,Korea,GINI,Total population,2017,0_TO_1,0-1 scale,0.354
12109,Korea,GINI,Total population,2018,0_TO_1,0-1 scale,0.345
12113,Korea,GINI,Total population,2009,0_TO_1,0-1 scale,0.314
12114,Korea,GINI,Total population,2010,0_TO_1,0-1 scale,0.31
12115,Korea,GINI,Total population,2011,0_TO_1,0-1 scale,0.311
12116,Korea,GINI,Total population,2012,0_TO_1,0-1 scale,0.307
12120,Korea,CPI2010,Total population,2009,IDX,Index,97.14473991
12121,Korea,CPI2010,Total population,2010,IDX,Index,100.0
12122,Korea,CPI2010,Total population,2011,IDX,Index,104.02585359999999
12123,Korea,CPI2010,Total population,2012,IDX,Index,106.3011216
12437,Luxembourg,GINI,Total population,2015,0_TO_1,0-1 scale,0.306
12438,Luxembourg,GINI,Total population,2016,0_TO_1,0-1 scale,0.305
12439,Luxembourg,GINI,Total population,2017,0_TO_1,0-1 scale,0.327
12440,Luxembourg,GINI,Total population,2018,0_TO_1,0-1 scale,0.318
12446,Luxembourg,GINI,Total population,2009,0_TO_1,0-1 scale,0.27699999999999997
12447,Luxembourg,GINI,Total population,2010,0_TO_1,0-1 scale,0.27
12448,Luxembourg,GINI,Total population,2011,0_TO_1,0-1 scale,0.276
12449,Luxembourg,GINI,Total population,2012,0_TO_1,0-1 scale,0.298
12450,Luxembourg,GINI,Total population,2013,0_TO_1,0-1 scale,0.27899999999999997
12451,Luxembourg,CPI2010,Total population,2015,IDX,Index,109.2001092
12452,Luxembourg,CPI2010,Total population,2016,IDX,Index,109.51766310000001
12453,Luxembourg,CPI2010,Total population,2017,IDX,Index,111.41326780000001
12454,Luxembourg,CPI2010,Total population,2018,IDX,Index,113.11580670000001
12460,Luxembourg,CPI2010,Total population,2009,IDX,Index,97.77687142
12461,Luxembourg,CPI2010,Total population,2010,IDX,Index,100.0
12462,Luxembourg,CPI2010,Total population,2011,IDX,Index,103.4106798
12463,Luxembourg,CPI2010,Total population,2012,IDX,Index,106.16434620000001
12464,Luxembourg,CPI2010,Total population,2013,IDX,Index,108.00527439999999
13105,Mexico,GINI,Total population,2012,0_TO_1,0-1 scale,0.457
13106,Mexico,GINI,Total population,2014,0_TO_1,0-1 scale,0.45899999999999996
13107,Mexico,GINI,Total population,2016,0_TO_1,0-1 scale,0.45799999999999996
13112,Mexico,GINI,Total population,2010,0_TO_1,0-1 scale,0.466
13113,Mexico,GINI,Total population,2012,0_TO_1,0-1 scale,0.48200000000000004
13114,Mexico,CPI2010,Total population,2012,IDX,Index,107.6589765
13115,Mexico,CPI2010,Total population,2014,IDX,Index,116.247983
13116,Mexico,CPI2010,Total population,2016,IDX,Index,122.78008100000001
13121,Mexico,CPI2010,Total population,2010,IDX,Index,100.0
13122,Mexico,CPI2010,Total population,2012,IDX,Index,107.6589765
13444,Netherlands,GINI,Total population,2011,0_TO_1,0-1 scale,0.289
13445,Netherlands,GINI,Total population,2012,0_TO_1,0-1 scale,0.28800000000000003
13446,Netherlands,GINI,Total population,2013,0_TO_1,0-1 scale,0.287
13447,Netherlands,GINI,Total population,2014,0_TO_1,0-1 scale,0.303
13448,Netherlands,GINI,Total population,2015,0_TO_1,0-1 scale,0.28800000000000003
13449,Netherlands,GINI,Total population,2016,0_TO_1,0-1 scale,0.285
13454,Netherlands,GINI,Total population,2009,0_TO_1,0-1 scale,0.28300000000000003
13455,Netherlands,GINI,Total population,2010,0_TO_1,0-1 scale,0.28300000000000003
13456,Netherlands,GINI,Total population,2012,0_TO_1,0-1 scale,0.278
13457,Netherlands,CPI2010,Total population,2011,IDX,Index,102.341074
13458,Netherlands,CPI2010,Total population,2012,IDX,Index,104.8541116
13459,Netherlands,CPI2010,Total population,2013,IDX,Index,107.48269769999999
13460,Netherlands,CPI2010,Total population,2014,IDX,Index,108.5317738
13461,Netherlands,CPI2010,Total population,2015,IDX,Index,109.18322649999999
13462,Netherlands,CPI2010,Total population,2016,IDX,Index,109.5290098
13467,Netherlands,CPI2010,Total population,2009,IDX,Index,98.74076801
13468,Netherlands,CPI2010,Total population,2010,IDX,Index,100.0
13469,Netherlands,CPI2010,Total population,2012,IDX,Index,104.8541116
14081,New Zealand,GINI,Total population,2011,0_TO_1,0-1 scale,0.32299999999999995
14082,New Zealand,GINI,Total population,2012,0_TO_1,0-1 scale,0.33299999999999996
