LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
HUN,WKGPOP,TOT,PC_POP,A,2013,68.209,
HUN,WKGPOP,TOT,PC_POP,A,2014,67.825,
HUN,WKGPOP,TOT,PC_POP,A,2015,67.426,
HUN,WKGPOP,TOT,PC_POP,A,2016,67.026,
HUN,WKGPOP,TOT,PC_POP,A,2017,66.668,
HUN,WKGPOP,TOT,PC_POP,A,2018,66.296,
ISL,WKGPOP,TOT,PC_POP,A,2008,67.527,
ISL,WKGPOP,TOT,PC_POP,A,2009,67.296,
ISL,WKGPOP,TOT,PC_POP,A,2010,66.932,
ISL,WKGPOP,TOT,PC_POP,A,2011,66.714,
ISL,WKGPOP,TOT,PC_POP,A,2012,66.52,
ISL,WKGPOP,TOT,PC_POP,A,2013,66.333,
ISL,WKGPOP,TOT,PC_POP,A,2014,66.187,
ISL,WKGPOP,TOT,PC_POP,A,2015,66.12,
ISL,WKGPOP,TOT,PC_POP,A,2016,66.183,
ISL,WKGPOP,TOT,PC_POP,A,2017,66.417,
ISL,WKGPOP,TOT,PC_POP,A,2018,66.695,
IRL,WKGPOP,TOT,PC_POP,A,2008,68.849,
IRL,WKGPOP,TOT,PC_POP,A,2009,68.339,
IRL,WKGPOP,TOT,PC_POP,A,2010,67.665,
IRL,WKGPOP,TOT,PC_POP,A,2011,67.031,
IRL,WKGPOP,TOT,PC_POP,A,2012,66.517,
IRL,WKGPOP,TOT,PC_POP,A,2013,66.127,
IRL,WKGPOP,TOT,PC_POP,A,2014,65.837,
IRL,WKGPOP,TOT,PC_POP,A,2015,65.613,
IRL,WKGPOP,TOT,PC_POP,A,2016,65.496,
IRL,WKGPOP,TOT,PC_POP,A,2017,65.427,
IRL,WKGPOP,TOT,PC_POP,A,2018,65.367,
ITA,WKGPOP,TOT,PC_POP,A,2008,65.673,
ITA,WKGPOP,TOT,PC_POP,A,2009,65.553,
ITA,WKGPOP,TOT,PC_POP,A,2010,65.459,
ITA,WKGPOP,TOT,PC_POP,A,2011,65.291,
ITA,WKGPOP,TOT,PC_POP,A,2012,64.994,
ITA,WKGPOP,TOT,PC_POP,A,2013,64.761,
ITA,WKGPOP,TOT,PC_POP,A,2014,64.578,
ITA,WKGPOP,TOT,PC_POP,A,2015,64.388,
ITA,WKGPOP,TOT,PC_POP,A,2016,64.238,
ITA,WKGPOP,TOT,PC_POP,A,2017,64.124,
ITA,WKGPOP,TOT,PC_POP,A,2018,64.046,
JPN,WKGPOP,TOT,PC_POP,A,2008,64.451,
JPN,WKGPOP,TOT,PC_POP,A,2009,63.91,
JPN,WKGPOP,TOT,PC_POP,A,2010,63.826,
JPN,WKGPOP,TOT,PC_POP,A,2011,63.648,
JPN,WKGPOP,TOT,PC_POP,A,2012,62.875,
JPN,WKGPOP,TOT,PC_POP,A,2013,62.067,
JPN,WKGPOP,TOT,PC_POP,A,2014,61.259,
JPN,WKGPOP,TOT,PC_POP,A,2015,60.806,
JPN,WKGPOP,TOT,PC_POP,A,2016,60.316,
JPN,WKGPOP,TOT,PC_POP,A,2017,59.951,
JPN,WKGPOP,TOT,PC_POP,A,2018,59.671,
KOR,WKGPOP,TOT,PC_POP,A,2008,72.546,
KOR,WKGPOP,TOT,PC_POP,A,2009,72.811,
KOR,WKGPOP,TOT,PC_POP,A,2010,73.068,
KOR,WKGPOP,TOT,PC_POP,A,2011,73.393,
KOR,WKGPOP,TOT,PC_POP,A,2012,73.418,
KOR,WKGPOP,TOT,PC_POP,A,2013,73.398,
KOR,WKGPOP,TOT,PC_POP,A,2014,73.415,
KOR,WKGPOP,TOT,PC_POP,A,2015,73.397,
KOR,WKGPOP,TOT,PC_POP,A,2016,73.404,
KOR,WKGPOP,TOT,PC_POP,A,2017,73.151,
KOR,WKGPOP,TOT,PC_POP,A,2018,72.767,
LUX,WKGPOP,TOT,PC_POP,A,2008,67.973,
LUX,WKGPOP,TOT,PC_POP,A,2009,68.195,
LUX,WKGPOP,TOT,PC_POP,A,2010,68.411,
LUX,WKGPOP,TOT,PC_POP,A,2011,68.711,
LUX,WKGPOP,TOT,PC_POP,A,2012,68.968,
LUX,WKGPOP,TOT,PC_POP,A,2013,69.061,
LUX,WKGPOP,TOT,PC_POP,A,2014,69.126,
LUX,WKGPOP,TOT,PC_POP,A,2015,69.238,
LUX,WKGPOP,TOT,PC_POP,A,2016,69.415,
LUX,WKGPOP,TOT,PC_POP,A,2017,69.531,
LUX,WKGPOP,TOT,PC_POP,A,2018,69.547,
MEX,WKGPOP,TOT,PC_POP,A,2008,63.622,
MEX,WKGPOP,TOT,PC_POP,A,2009,63.978,
MEX,WKGPOP,TOT,PC_POP,A,2010,64.314,
MEX,WKGPOP,TOT,PC_POP,A,2011,64.629,
MEX,WKGPOP,TOT,PC_POP,A,2012,64.916,
MEX,WKGPOP,TOT,PC_POP,A,2013,65.179,
MEX,WKGPOP,TOT,PC_POP,A,2014,65.423,
MEX,WKGPOP,TOT,PC_POP,A,2015,65.652,
MEX,WKGPOP,TOT,PC_POP,A,2016,65.867,
MEX,WKGPOP,TOT,PC_POP,A,2017,66.064,
MEX,WKGPOP,TOT,PC_POP,A,2018,66.246,
NLD,WKGPOP,TOT,PC_POP,A,2008,67.33,
NLD,WKGPOP,TOT,PC_POP,A,2009,67.193,
NLD,WKGPOP,TOT,PC_POP,A,2010,67.038,
NLD,WKGPOP,TOT,PC_POP,A,2011,66.707,
NLD,WKGPOP,TOT,PC_POP,A,2012,66.232,
NLD,WKGPOP,TOT,PC_POP,A,2013,65.868,
NLD,WKGPOP,TOT,PC_POP,A,2014,65.597,
NLD,WKGPOP,TOT,PC_POP,A,2015,65.407,
NLD,WKGPOP,TOT,PC_POP,A,2016,65.278,
NLD,WKGPOP,TOT,PC_POP,A,2017,65.142,
NLD,WKGPOP,TOT,PC_POP,A,2018,65.019,
NZL,WKGPOP,TOT,PC_POP,A,2008,66.416,
NZL,WKGPOP,TOT,PC_POP,A,2009,66.311,
NZL,WKGPOP,TOT,PC_POP,A,2010,66.174,
NZL,WKGPOP,TOT,PC_POP,A,2011,65.994,
NZL,WKGPOP,TOT,PC_POP,A,2012,65.679,
NZL,WKGPOP,TOT,PC_POP,A,2013,65.449,
NZL,WKGPOP,TOT,PC_POP,A,2014,65.375,
NZL,WKGPOP,TOT,PC_POP,A,2015,65.431,
NZL,WKGPOP,TOT,PC_POP,A,2016,65.481,
NZL,WKGPOP,TOT,PC_POP,A,2017,65.439,
NZL,WKGPOP,TOT,PC_POP,A,2018,65.375,
NOR,WKGPOP,TOT,PC_POP,A,2008,66.258,
NOR,WKGPOP,TOT,PC_POP,A,2009,66.27,
NOR,WKGPOP,TOT,PC_POP,A,2010,66.208,
NOR,WKGPOP,TOT,PC_POP,A,2011,66.126,
NOR,WKGPOP,TOT,PC_POP,A,2012,66.03,
NOR,WKGPOP,TOT,PC_POP,A,2013,65.932,
NOR,WKGPOP,TOT,PC_POP,A,2014,65.838,
NOR,WKGPOP,TOT,PC_POP,A,2015,65.743,
NOR,WKGPOP,TOT,PC_POP,A,2016,65.608,
NOR,WKGPOP,TOT,PC_POP,A,2017,65.435,
NOR,WKGPOP,TOT,PC_POP,A,2018,65.274,
POL,WKGPOP,TOT,PC_POP,A,2008,71.151,
POL,WKGPOP,TOT,PC_POP,A,2009,71.268,
POL,WKGPOP,TOT,PC_POP,A,2010,71.313,
POL,WKGPOP,TOT,PC_POP,A,2011,71.221,
POL,WKGPOP,TOT,PC_POP,A,2012,70.903,
POL,WKGPOP,TOT,PC_POP,A,2013,70.51,
POL,WKGPOP,TOT,PC_POP,A,2014,70.02,
POL,WKGPOP,TOT,PC_POP,A,2015,69.506,
POL,WKGPOP,TOT,PC_POP,A,2016,68.91,
POL,WKGPOP,TOT,PC_POP,A,2017,68.244,
POL,WKGPOP,TOT,PC_POP,A,2018,67.553,
PRT,WKGPOP,TOT,PC_POP,A,2008,66.644,
PRT,WKGPOP,TOT,PC_POP,A,2009,66.514,
PRT,WKGPOP,TOT,PC_POP,A,2010,66.329,
PRT,WKGPOP,TOT,PC_POP,A,2011,66.127,
PRT,WKGPOP,TOT,PC_POP,A,2012,65.936,
PRT,WKGPOP,TOT,PC_POP,A,2013,65.696,
PRT,WKGPOP,TOT,PC_POP,A,2014,65.45,
PRT,WKGPOP,TOT,PC_POP,A,2015,65.258,
PRT,WKGPOP,TOT,PC_POP,A,2016,65.034,
PRT,WKGPOP,TOT,PC_POP,A,2017,64.776,
PRT,WKGPOP,TOT,PC_POP,A,2018,64.561,
SVK,WKGPOP,TOT,PC_POP,A,2008,72.331,
SVK,WKGPOP,TOT,PC_POP,A,2009,72.411,
SVK,WKGPOP,TOT,PC_POP,A,2010,72.34,
SVK,WKGPOP,TOT,PC_POP,A,2011,71.906,
SVK,WKGPOP,TOT,PC_POP,A,2012,71.669,
SVK,WKGPOP,TOT,PC_POP,A,2013,71.322,
SVK,WKGPOP,TOT,PC_POP,A,2014,70.932,
SVK,WKGPOP,TOT,PC_POP,A,2015,70.472,
SVK,WKGPOP,TOT,PC_POP,A,2016,69.885,
SVK,WKGPOP,TOT,PC_POP,A,2017,69.21,
SVK,WKGPOP,TOT,PC_POP,A,2018,68.541,
ESP,WKGPOP,TOT,PC_POP,A,2008,68.825,
ESP,WKGPOP,TOT,PC_POP,A,2009,68.489,
ESP,WKGPOP,TOT,PC_POP,A,2010,68.092,
ESP,WKGPOP,TOT,PC_POP,A,2011,67.707,
ESP,WKGPOP,TOT,PC_POP,A,2012,67.365,
ESP,WKGPOP,TOT,PC_POP,A,2013,66.913,
ESP,WKGPOP,TOT,PC_POP,A,2014,66.504,
ESP,WKGPOP,TOT,PC_POP,A,2015,66.259,
ESP,WKGPOP,TOT,PC_POP,A,2016,66.075,
ESP,WKGPOP,TOT,PC_POP,A,2017,65.918,
ESP,WKGPOP,TOT,PC_POP,A,2018,65.848,
SWE,WKGPOP,TOT,PC_POP,A,2008,65.629,
SWE,WKGPOP,TOT,PC_POP,A,2009,65.436,
SWE,WKGPOP,TOT,PC_POP,A,2010,65.118,
SWE,WKGPOP,TOT,PC_POP,A,2011,64.7,
SWE,WKGPOP,TOT,PC_POP,A,2012,64.235,
SWE,WKGPOP,TOT,PC_POP,A,2013,63.759,
SWE,WKGPOP,TOT,PC_POP,A,2014,63.319,
SWE,WKGPOP,TOT,PC_POP,A,2015,62.959,
SWE,WKGPOP,TOT,PC_POP,A,2016,62.702,
SWE,WKGPOP,TOT,PC_POP,A,2017,62.522,
SWE,WKGPOP,TOT,PC_POP,A,2018,62.377,
CHE,WKGPOP,TOT,PC_POP,A,2008,68.12,
CHE,WKGPOP,TOT,PC_POP,A,2009,68.077,
CHE,WKGPOP,TOT,PC_POP,A,2010,67.957,
CHE,WKGPOP,TOT,PC_POP,A,2011,67.896,
CHE,WKGPOP,TOT,PC_POP,A,2012,67.743,
CHE,WKGPOP,TOT,PC_POP,A,2013,67.585,
CHE,WKGPOP,TOT,PC_POP,A,2014,67.42,
CHE,WKGPOP,TOT,PC_POP,A,2015,67.265,
CHE,WKGPOP,TOT,PC_POP,A,2016,67.098,
CHE,WKGPOP,TOT,PC_POP,A,2017,66.886,
CHE,WKGPOP,TOT,PC_POP,A,2018,66.646,
TUR,WKGPOP,TOT,PC_POP,A,2008,66.697,
TUR,WKGPOP,TOT,PC_POP,A,2009,66.945,
TUR,WKGPOP,TOT,PC_POP,A,2010,67.085,
TUR,WKGPOP,TOT,PC_POP,A,2011,67.272,
TUR,WKGPOP,TOT,PC_POP,A,2012,67.465,
TUR,WKGPOP,TOT,PC_POP,A,2013,67.641,
TUR,WKGPOP,TOT,PC_POP,A,2014,67.74,
TUR,WKGPOP,TOT,PC_POP,A,2015,67.758,
TUR,WKGPOP,TOT,PC_POP,A,2016,67.86,
TUR,WKGPOP,TOT,PC_POP,A,2017,67.933,
TUR,WKGPOP,TOT,PC_POP,A,2018,67.877,
GBR,WKGPOP,TOT,PC_POP,A,2008,66.306,
GBR,WKGPOP,TOT,PC_POP,A,2009,66.183,
GBR,WKGPOP,TOT,PC_POP,A,2010,66.035,
GBR,WKGPOP,TOT,PC_POP,A,2011,65.909,
GBR,WKGPOP,TOT,PC_POP,A,2012,65.38,
GBR,WKGPOP,TOT,PC_POP,A,2013,64.996,
GBR,WKGPOP,TOT,PC_POP,A,2014,64.681,
GBR,WKGPOP,TOT,PC_POP,A,2015,64.457,
GBR,WKGPOP,TOT,PC_POP,A,2016,64.216,
GBR,WKGPOP,TOT,PC_POP,A,2017,63.966,
GBR,WKGPOP,TOT,PC_POP,A,2018,63.758,
USA,WKGPOP,TOT,PC_POP,A,2008,67.219,
USA,WKGPOP,TOT,PC_POP,A,2009,67.17,
USA,WKGPOP,TOT,PC_POP,A,2010,67.128,
USA,WKGPOP,TOT,PC_POP,A,2011,67.096,
USA,WKGPOP,TOT,PC_POP,A,2012,66.786,
USA,WKGPOP,TOT,PC_POP,A,2013,66.554,
USA,WKGPOP,TOT,PC_POP,A,2014,66.322,
USA,WKGPOP,TOT,PC_POP,A,2015,66.12,
USA,WKGPOP,TOT,PC_POP,A,2016,65.89,
USA,WKGPOP,TOT,PC_POP,A,2017,65.628,
USA,WKGPOP,TOT,PC_POP,A,2018,65.364,
BRA,WKGPOP,TOT,PC_POP,A,2008,67.32,
BRA,WKGPOP,TOT,PC_POP,A,2009,67.651,
BRA,WKGPOP,TOT,PC_POP,A,2010,67.986,
BRA,WKGPOP,TOT,PC_POP,A,2011,68.324,
BRA,WKGPOP,TOT,PC_POP,A,2012,68.642,
BRA,WKGPOP,TOT,PC_POP,A,2013,68.933,
BRA,WKGPOP,TOT,PC_POP,A,2014,69.161,
BRA,WKGPOP,TOT,PC_POP,A,2015,69.306,
BRA,WKGPOP,TOT,PC_POP,A,2016,69.418,
BRA,WKGPOP,TOT,PC_POP,A,2017,69.455,
BRA,WKGPOP,TOT,PC_POP,A,2018,69.43,
CHL,WKGPOP,TOT,PC_POP,A,2008,68.123,
CHL,WKGPOP,TOT,PC_POP,A,2009,68.366,
CHL,WKGPOP,TOT,PC_POP,A,2010,68.549,
CHL,WKGPOP,TOT,PC_POP,A,2011,68.687,
CHL,WKGPOP,TOT,PC_POP,A,2012,68.785,
CHL,WKGPOP,TOT,PC_POP,A,2013,68.846,
CHL,WKGPOP,TOT,PC_POP,A,2014,68.875,
CHL,WKGPOP,TOT,PC_POP,A,2015,68.827,
CHL,WKGPOP,TOT,PC_POP,A,2016,68.743,
CHL,WKGPOP,TOT,PC_POP,A,2017,68.725,
CHL,WKGPOP,TOT,PC_POP,A,2018,68.741,
COL,WKGPOP,TOT,PC_POP,A,2008,63.992,
COL,WKGPOP,TOT,PC_POP,A,2009,64.357,
COL,WKGPOP,TOT,PC_POP,A,2010,64.682,
COL,WKGPOP,TOT,PC_POP,A,2011,64.992,
COL,WKGPOP,TOT,PC_POP,A,2012,65.259,
COL,WKGPOP,TOT,PC_POP,A,2013,65.487,
COL,WKGPOP,TOT,PC_POP,A,2014,65.675,
COL,WKGPOP,TOT,PC_POP,A,2015,65.829,
COL,WKGPOP,TOT,PC_POP,A,2016,65.935,
COL,WKGPOP,TOT,PC_POP,A,2017,66.015,
COL,WKGPOP,TOT,PC_POP,A,2018,66.069,
EST,WKGPOP,TOT,PC_POP,A,2008,67.669,
EST,WKGPOP,TOT,PC_POP,A,2009,67.532,
EST,WKGPOP,TOT,PC_POP,A,2010,67.322,
EST,WKGPOP,TOT,PC_POP,A,2011,66.99,
EST,WKGPOP,TOT,PC_POP,A,2012,66.542,
EST,WKGPOP,TOT,PC_POP,A,2013,66.059,
EST,WKGPOP,TOT,PC_POP,A,2014,65.548,
EST,WKGPOP,TOT,PC_POP,A,2015,65.095,
EST,WKGPOP,TOT,PC_POP,A,2016,64.665,
EST,WKGPOP,TOT,PC_POP,A,2017,64.258,
EST,WKGPOP,TOT,PC_POP,A,2018,63.96,
ISR,WKGPOP,TOT,PC_POP,A,2008,61.878,
ISR,WKGPOP,TOT,PC_POP,A,2009,62.314,
ISR,WKGPOP,TOT,PC_POP,A,2010,62.151,
ISR,WKGPOP,TOT,PC_POP,A,2011,61.806,
ISR,WKGPOP,TOT,PC_POP,A,2012,61.553,
ISR,WKGPOP,TOT,PC_POP,A,2013,61.255,
ISR,WKGPOP,TOT,PC_POP,A,2014,61.017,
ISR,WKGPOP,TOT,PC_POP,A,2015,60.77,
ISR,WKGPOP,TOT,PC_POP,A,2016,60.516,
ISR,WKGPOP,TOT,PC_POP,A,2017,60.276,
ISR,WKGPOP,TOT,PC_POP,A,2018,59.966,
RUS,WKGPOP,TOT,PC_POP,A,2008,71.68,
RUS,WKGPOP,TOT,PC_POP,A,2009,71.924,
RUS,WKGPOP,TOT,PC_POP,A,2010,72.051,
RUS,WKGPOP,TOT,PC_POP,A,2011,71.885,
RUS,WKGPOP,TOT,PC_POP,A,2012,71.42,
RUS,WKGPOP,TOT,PC_POP,A,2013,70.869,
RUS,WKGPOP,TOT,PC_POP,A,2014,70.201,
RUS,WKGPOP,TOT,PC_POP,A,2015,69.445,
RUS,WKGPOP,TOT,PC_POP,A,2016,68.744,
RUS,WKGPOP,TOT,PC_POP,A,2017,69.759,
RUS,WKGPOP,TOT,PC_POP,A,2018,67.616,
SVN,WKGPOP,TOT,PC_POP,A,2008,69.728,
SVN,WKGPOP,TOT,PC_POP,A,2009,69.526,
SVN,WKGPOP,TOT,PC_POP,A,2010,69.342,
SVN,WKGPOP,TOT,PC_POP,A,2011,69.142,
SVN,WKGPOP,TOT,PC_POP,A,2012,68.67,
SVN,WKGPOP,TOT,PC_POP,A,2013,68.183,
SVN,WKGPOP,TOT,PC_POP,A,2014,67.647,
SVN,WKGPOP,TOT,PC_POP,A,2015,67.053,
SVN,WKGPOP,TOT,PC_POP,A,2016,66.43,
SVN,WKGPOP,TOT,PC_POP,A,2017,65.863,
SVN,WKGPOP,TOT,PC_POP,A,2018,65.258,
OECD,WKGPOP,TOT,PC_POP,A,2008,66.751,
OECD,WKGPOP,TOT,PC_POP,A,2009,66.691,
OECD,WKGPOP,TOT,PC_POP,A,2010,66.665,
OECD,WKGPOP,TOT,PC_POP,A,2011,66.602,
OECD,WKGPOP,TOT,PC_POP,A,2012,66.357,
OECD,WKGPOP,TOT,PC_POP,A,2013,66.12,
OECD,WKGPOP,TOT,PC_POP,A,2014,65.88,
OECD,WKGPOP,TOT,PC_POP,A,2015,65.692,
OECD,WKGPOP,TOT,PC_POP,A,2016,65.501,
OECD,WKGPOP,TOT,PC_POP,A,2017,65.298,
OECD,WKGPOP,TOT,PC_POP,A,2018,65.104,
EU28,WKGPOP,TOT,PC_POP,A,2008,67.085,
EU28,WKGPOP,TOT,PC_POP,A,2009,66.949,
EU28,WKGPOP,TOT,PC_POP,A,2010,66.815,
EU28,WKGPOP,TOT,PC_POP,A,2011,66.607,
EU28,WKGPOP,TOT,PC_POP,A,2012,66.315,
EU28,WKGPOP,TOT,PC_POP,A,2013,66.014,
EU28,WKGPOP,TOT,PC_POP,A,2014,65.699,
EU28,WKGPOP,TOT,PC_POP,A,2015,65.419,
EU28,WKGPOP,TOT,PC_POP,A,2016,65.146,
EU28,WKGPOP,TOT,PC_POP,A,2017,64.863,
EU28,WKGPOP,TOT,PC_POP,A,2018,64.608,
LVA,WKGPOP,TOT,PC_POP,A,2008,68.245,
LVA,WKGPOP,TOT,PC_POP,A,2009,67.91,
LVA,WKGPOP,TOT,PC_POP,A,2010,67.577,
LVA,WKGPOP,TOT,PC_POP,A,2011,67.291,
LVA,WKGPOP,TOT,PC_POP,A,2012,66.971,
LVA,WKGPOP,TOT,PC_POP,A,2013,66.509,
LVA,WKGPOP,TOT,PC_POP,A,2014,65.924,
LVA,WKGPOP,TOT,PC_POP,A,2015,65.37,
LVA,WKGPOP,TOT,PC_POP,A,2016,64.829,
LVA,WKGPOP,TOT,PC_POP,A,2017,64.328,
LVA,WKGPOP,TOT,PC_POP,A,2018,63.983,
ARG,WKGPOP,TOT,PC_POP,A,2008,63.534,
ARG,WKGPOP,TOT,PC_POP,A,2009,63.669,
ARG,WKGPOP,TOT,PC_POP,A,2010,63.804,
ARG,WKGPOP,TOT,PC_POP,A,2011,63.915,
ARG,WKGPOP,TOT,PC_POP,A,2012,63.995,
ARG,WKGPOP,TOT,PC_POP,A,2013,64.051,
ARG,WKGPOP,TOT,PC_POP,A,2014,64.088,
ARG,WKGPOP,TOT,PC_POP,A,2015,64.114,
ARG,WKGPOP,TOT,PC_POP,A,2016,64.131,
